爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
艮為山 六二,310,52,六二,艮其腓。不拯其随。其心不快。 （そのひをげんす。そのずいをすくわず。そのこころふかい。） 意味：そのふくらはぎで止まる。その追随するものを救えない。その心は不快。,行動を止めようとするが、意志が弱く、周囲に引きずられて完全に止まることができない。思うように自己を律せず、内心で不満を感じる状態。,やや破滅パターン,-1,"葛藤, 不完全, 不満",艮為山,"不完全, 不満, 葛藤",50,40,64,35,受動,32,54,"状況:安定期, 力学:協力者なし"
艮為山 九三,311,52,九三,艮其限。列其夤。厲薰心。 （そのげんをげんす。そのいんをれつす。あやうくこころをやく。） 意味：その限界で止まる。背骨が裂けるように。危うく心が焼け付く。,自己抑制が極限に達し、精神的、物理的な限界を感じる。無理な我慢によって心身が疲弊し、感情が爆発する危険性もある、非常に苦しい状態。,破滅パターン,-2,"限界, 苦痛, 危険",艮為山,"リスクあり, 危険, 苦痛, 限界",8,25,32,70,受動,52,18,"状況:移行期, 力学:協力者なし, 力学:順当な力関係"
艮為山 六四,312,52,六四,艮其身。无咎。 （そのみをげんす。とがなし。） 意味：その身全体で止まる。咎めはない。,外部の誘惑や内なる感情に流されず、自分の全身（行動、思考、感情）を完全に抑制し、静止する。無益な争いから身を守る、賢明な状態。,勝ちパターン,1,"自己制御, 冷静, 内省",艮為山,"内省, 冷静, 問題なし, 自己制御",67,40,28,55,能動,72,28,"状況:変革期, 力学:下剋上リスク, 力学:協力者なし"
艮為山 六五,313,52,六五,艮其輔。言有序。悔亡。 （そのほをげんす。げんにじょあり。くいほろぶ。） 意味：その顎（言葉）で止まる。言葉に秩序がある。悔いがなくなる。,不用意な発言や無益な議論を避け、言葉を慎重に選ぶ。その冷静で的確な言葉遣いが、周囲からの信頼を得て、後悔のない結果を生む。,大勝ちパターン,2,"言葉の抑制, 信頼, 慎重な発言",艮為山,"信頼, 慎重な発言, 言葉の抑制",92,45,56,45,受動,32,48,"状況:絶頂期, 力学:協力者なし, 心理:内省, 心理:慎重"
艮為山 上九,314,52,上九,敦艮。吉。 （とんげん。きち。） 意味：篤く止まる。吉。,外部の状況に全く左右されず、完全に心穏やかで、精神的に充実した最高の静止状態。世俗的な欲望を超越した、究極の境地。,大勝ちパターン,2,"精神的充実, 完成, 泰然自若",艮為山,"吉, 完成, 泰然自若, 精神的充実",83,25,32,55,受動,56,24,"状況:終極期, 力学:協力者なし"
風山漸 初六,315,53,初六,鴻漸于干。小子厲。有言。无咎。 （こうぜんうかん。しょうしあやうし。げんあり。とがなし。） 意味：鴻が水辺に進む。若者は危ういが、言葉があれば咎めなし。,物事の始まり。まず安全な場所で足場を固める。未熟な者は危険だが、指導者の適切な助言があれば、問題なくスタートを切れる。,停滞・中立パターン,0,"始まり, 慎重, 指導",風山漸,"リスクあり, 問題なし, 始まり, 慎重, 指導",58,40,48,50,能動,52,40,"状況:黎明期, 力学:協力者なし"
風山漸 六二,316,53,六二,鴻漸于磐。飲食衎衎。吉。 （こうぜんうばん。いんしょくかんかん。きち。） 意味：鴻が磐石に進む。飲食して楽しむ。吉。,初期の準備が実を結び、強固で安定した基盤を築き上げた状態。仲間と共に成果を分かち合い、喜びを享受できる、非常に幸運な時期。,大勝ちパターン,2,"安定, 基盤確立, 共有",風山漸,"共有, 吉, 基盤確立, 安定",92,70,56,45,能動,36,58,"状況:安定期, 力学:下剋上リスク, 力学:協力者あり, アクション:準備"
風山漸 九三,317,53,九三,鴻漸于陸。夫征不復。婦孕不育。凶。… （こうぜんうりく。おっとゆきてふくせず。ふはらみていくせず。きょう。…） 意味：鴻が陸地に進む。夫は出かけて戻らず、妻は妊娠しても育てられない。凶。,順調な中で、自分の能力を過信し、危険で不適切な場所へ進んでしまう。その無謀な行動が、取り返しのつかない失敗や、将来の破綻を招く。,破滅パターン,-2,"無謀, 危険な選択, 破綻",風山漸,"凶, 危険な選択, 無謀, 破綻",8,25,32,75,能動,64,16,"状況:移行期, 力学:協力者なし, 力学:順当な力関係"
風山漸 六四,318,53,六四,鴻漸于木。或得其桷。无咎。 （こうぜんうぼく。あるいはそのかくをう。とがなし。） 意味：鴻が木に進む。あるいは平らな枝を得る。咎めはない。,一時的な調整期間を経て、より安全で安定した場所へ移る。次の大きな飛躍に備え、適切な足場を確保する、賢明な判断。,勝ちパターン,1,"準備期間, 足場固め, 賢明な判断",風山漸,"問題なし, 準備期間, 賢明な判断, 足場固め",67,40,28,55,能動,72,28,"状況:変革期, 力学:下剋上リスク, 力学:協力者なし"
風山漸 九五,319,53,九五,鴻漸于陵。婦三歳不孕。終莫之勝。吉。 （こうぜんうりょう。ふさんさいはらまず。おわりにこれにかつものなし。きち。） 意味：鴻が丘に進む。妻は三年間妊娠しない。最終的には打ち勝つ。吉。,最高の地位に到達するが、そこでは一時的に成果が出ない、忍耐の時期が伴う。しかし、その試練を乗り越えれば、最終的に誰もが認める勝利を収める。,勝ちパターン,1,"試練, 忍耐, 最終的な勝利",風山漸,"吉, 忍耐, 最終的な勝利, 試練",75,60,68,25,受動,20,68,"状況:絶頂期, 力学:協力者あり, 心理:忍耐"
風山漸 上九,320,53,上九,鴻漸于逵。其羽可用為儀。吉。 （こうぜんうき。そのはねもってぎとなすべし。きち。） 意味：鴻が天空に昇る。その羽は儀式に用いることができる。吉。,長年の努力が完全に実を結び、目標が達成される。その功績や生き様が、広く社会の模範となり、尊敬を集める、最高の完成形。,大勝ちパターン,2,"完成, 模範, 栄誉",風山漸,"吉, 完成, 栄誉, 模範",83,25,32,55,能動,56,24,"状況:終極期, 力学:協力者なし"
雷沢帰妹 初九,321,54,初九,帰妹以娣。跛能履。征吉。 （きまいしていをもってす。はよくふむ。ゆけばきち。） 意味：妹を副妻として嫁がせる。足が不自由でも歩ける。進んで吉。,正統ではない、少し無理のある形でのスタート。不完全な状況でも、それをわきまえた上で、慎重に進めば、当面の目的は達成できる。,勝ちパターン,1,"不完全なスタート, 次善の策, 前進",雷沢帰妹,"不完全なスタート, 前進, 吉, 次善の策",67,25,40,35,能動,64,36,"状況:黎明期, 力学:協力者なし, 心理:慎重"
雷沢帰妹 九二,322,54,九二,眇能視。利幽人之貞。 （びょうよくみる。ゆうじんのていによろし。） 意味：片目でも物を見る。隠遁者の正しさが良い。,限られた情報しかなく、全体を見通せていない状態。この状況で下手に動くよりは、静かに自分の本分を守り、状況を静観する方が賢明である。,停滞・中立パターン,0,"自己認識, 静観, 慎重",雷沢帰妹,"慎重, 自己認識, 静観",67,65,84,25,受動,0,78,"状況:安定期, 力学:協力者あり, 力学:順当な力関係, 心理:正道堅持"
雷沢帰妹 六三,323,54,六三,帰妹以須。反帰以娣。 （きまいじしゅをもってす。かえりてていをもってかえる。） 意味：（無理に）待たせて嫁がせる。戻って副妻を伴う。,軽はずみな約束や行動が原因で、関係がこじれ、混乱している。当初の計画が頓挫し、不適切な妥協や、さらなる混乱を招く修正を余儀なくされる。,やや破滅パターン,-1,"低い評価, 停滞, 不満",雷沢帰妹,"不満, 低い評価, 停滞",33,40,20,75,受動,76,16,"状況:移行期, 力学:下剋上リスク, 力学:協力者なし"
雷沢帰妹 九四,324,54,九四,帰妹愆期。遅帰有時。 （きまいきをあやまる。おくれてかえるにときあり。） 意味：嫁ぐ時期を誤る。遅れて嫁ぐ時がある。（※解釈テキストでは「帰妹牖」）,正式なルートではなく、水面下で関係性を進める。物事がスムーズに進まず時間はかかるが、焦らず慎重に進めれば、大きな問題にはならない。,停滞・中立パターン,0,"非公式ルート, 時間がかかる, 忍耐",雷沢帰妹,"忍耐, 時間がかかる, 非公式ルート",58,25,56,35,受動,48,44,"状況:変革期, 力学:協力者なし, 力学:順当な力関係, 心理:慎重"
雷沢帰妹 六五,325,54,六五,帝乙帰妹。其君之袂。不如其娣之袂良。… （ていいつきまい。そのくんのたもと、そのていのたもとのよきにしかず。…） 意味：帝乙が妹を嫁がせる。その君主の袖は、副妻の袖ほど良くない。,高い地位にあるリーダーが、外見的な華やかさや地位にこだわりすぎ、内面的な実質や誠実さを軽んじてしまう。その結果、かえって失敗を招く危険性。,やや破滅パターン,-1,"虚飾, 本質軽視, 判断ミス",雷沢帰妹,"判断ミス, 本質軽視, 虚飾",50,75,76,25,能動,20,78,"状況:絶頂期, 力学:協力者あり"
雷沢帰妹 上六,326,54,上六,女承筐无實。士刲羊无血。 （じょきょうをうけてじつなし。しようをえぐりてちなし。） 意味：女は籠を受けるが中身はなく、士は羊を裂くが血が出ない。（※解釈テキストでは「无實」）,中身や本質が伴わない、見せかけだけの関係性や行動の末路。最終的に全てが破綻し、何の価値も生み出さない、空虚な結末。,破滅パターン,-2,"空虚, 破綻, 無意味",雷沢帰妹,"無意味, 破綻, 空虚",8,40,24,55,能動,68,26,"状況:終極期, 力学:協力者なし"
雷火豊 初九,327,55,初九,遇其配主。雖旬无咎。往有尚。 （そのはいしゅにあう。じゅんといえどもとがなし。ゆけばたっとばるることあり。） 意味：その良き相手に出会う。十日（対等）でも咎めなし。進めば賞賛される。,繁栄の始まりにおいて、能力と志を同じくする、最高のパートナーと出会う。迅速に協力関係を築き、共に行動することで、大きな成功と賞賛を得られる。,大勝ちパターン,2,"パートナーシップ, 最高の出会い, 始まり",雷火豊,"パートナーシップ, 問題なし, 始まり, 最高の出会い",92,40,36,55,能動,80,32,"状況:黎明期, 力学:下剋上リスク, 力学:協力者なし"
雷火豊 六二,328,55,六二,豊其蔀。日中見斗。…有孚発若吉。 （ほうきほう。にっちゅうにとをみる。…まことあればひらけばきち。） 意味：その覆いが豊か。真昼に北斗七星が見える。…真心があれば発して吉。,表面上は豊かだが、問題が隠蔽され、真実が見えにくい不透明な状況。周囲から疑われるが、真心をもって誠実に対応し、情報を開示すれば、事態は好転する。,勝ちパターン,1,"不透明さ, 疑念, 誠実, 問題解決",雷火豊,"不透明さ, 吉, 問題解決, 疑念, 誠実",83,40,72,35,受動,24,58,"状況:安定期, 力学:協力者なし, 力学:順当な力関係"
雷火豊 九三,329,55,九三,豊其沛。日中見昧。折其右肱。无咎。 （ほうきはい。にっちゅうにまいをみる。そのゆうこうをおる。とがなし。） 意味：その覆いが大きい。真昼に暗闇を見る。その右腕を折る。咎めなし。,繁栄の陰で、問題や不正を隠そうとした結果、組織の重要な人材や機能（右腕）を損なう。痛みを伴うが、膿を出すことで、これ以上の咎めは免れる。,停滞・中立パターン,0,"犠牲, 損失, 危機管理",雷火豊,"危機管理, 問題なし, 損失, 犠牲",50,55,44,45,能動,48,46,"状況:移行期, 力学:協力者あり"
雷火豊 九四,330,55,九四,豊其蔀。日中見斗。遇其夷主。吉。 （ほうきほう。にっちゅうにとをみる。そのいしゅにあう。きち。） 意味：その覆いが豊か。真昼に北斗七星を見る。その平等な主君に出会う。吉。,不透明で混乱した状況の中で、公正な視点を持つ、信頼できるリーダーや協力者（夷主）と出会う。その助けによって、問題解決の糸口が見つかり、状況は好転する。,勝ちパターン,1,"協力者, 賢明な判断, 混乱の収束",雷火豊,"協力者, 吉, 混乱の収束, 賢明な判断",67,40,28,55,能動,84,28,"状況:変革期, 力学:下剋上リスク, 力学:協力者なし"
雷火豊 六五,331,55,六五,来章。有慶誉。吉。 （しょうをきたす。けいよあり。きち。） 意味：文が来る。慶びと誉れがある。吉。,これまでの努力が実を結び、最高の繁栄と名声（慶誉）を得る。その成果は広く社会に認められ、文化的な価値を持つまでに輝く、理想的な成功。,大勝ちパターン,2,"最高の栄誉, 名声, 成功",雷火豊,"吉, 名声, 成功, 最高の栄誉",92,45,56,35,受動,32,52,"状況:絶頂期, 力学:協力者なし"
雷火豊 上六,332,55,上六,豊其屋。蔀其家。窺其戸。闃其无人。…凶。 （そのおくをゆたかにす。そのいえをおおう。そのこをうかがう。げきとしてひとなし。…きょう。） 意味：その家を豊かにする。その家を覆う。戸を覗いても誰もいない。…凶。,成功のあまり、外部との交流を断ち、内側に閉じこもる。表面的な華やかさだけが残り、内部は空虚になり、完全に孤立してしまう、繁栄の末の破滅。,破滅パターン,-2,"孤立, 虚飾, 破滅",雷火豊,"凶, 孤立, 破滅, 虚飾",17,40,44,65,受動,44,32,"状況:終極期, 力学:協力者あり"
火山旅 初六,333,56,初六,旅瑣瑣。斯其所取災。 （りょささ。これそのわざわいをところ。） 意味：旅人が細々としている。そのために災いを招く。,旅の始まりで、些細なことばかりに心を奪われ、大局的な視点を持てない。その卑屈で余裕のない態度が、かえってトラブルを引き寄せる。,破滅パターン,-2,"些細なこと, 視野の狭さ, 災い",火山旅,"些細なこと, 災い, 視野の狭さ",17,40,52,25,受動,40,52,"状況:黎明期, 力学:協力者あり"
火山旅 六二,334,56,六二,旅即次。懐其資。得童僕貞。 （りょにしてつきにつく。そのしをいだく。どうぼくをえててい。） 意味：旅で宿に着く。懐に資金がある。忠実な若い召使いを得る。,旅の途中で、一時的に安全な場所を見つけ、必要な資源も確保できている。さらに、信頼できる協力者も得られる、恵まれた安定期。,勝ちパターン,1,"休息, 安定, 協力者",火山旅,"休息, 協力者, 安定",83,40,72,35,受動,12,58,"状況:安定期, 力学:協力者なし, 力学:順当な力関係, 心理:正道堅持"
火山旅 九三,335,56,九三,旅焚其次。喪其童僕貞。厲。 （りょそのつきをやき、そのどうぼくのていをうしなう。あやうし。） 意味：旅人がその宿を燃やす。忠実な召使いを失う。危うい。,旅のストレスや傲慢さから、感情的に行動し、自らの居場所や、せっかく築いた信頼関係を破壊してしまう。自滅的な行動であり、非常に危険。,破滅パターン,-2,"自滅, 傲慢, 信頼喪失",火山旅,"リスクあり, 信頼喪失, 傲慢, 自滅",17,40,32,70,能動,48,24,"状況:移行期, 力学:協力者なし, 心理:正道堅持"
火山旅 九四,336,56,九四,旅于処。得其資斧。我心不快。 （りょしょにあり。そのしふをう。わがこころふかい。） 意味：旅人が仮の宿にいる。その財産と武器を得る。私の心は不快だ。,ある程度の安定と必要な資源は確保できたが、そこは真の安住の地ではない。心が満たされず、常に不安や不満を抱えている、中途半端な状態。,停滞・中立パターン,0,"仮の宿, 不満, 精神的葛藤",火山旅,"不満, 仮の宿, 精神的葛藤",50,55,40,45,能動,60,44,"状況:変革期, 力学:下剋上リスク, 力学:協力者あり"
火山旅 六五,337,56,六五,射雉一矢亡。終以誉命。 （いをいていっしをうしなう。おわりにもってほまれとめいをう。） 意味：雉を射て一本の矢で仕留める。最終的に誉れと使命を得る。,旅の途中で、その優れた能力を発揮し、見事な成果を上げる。その実力が認められ、周囲から高い評価と、新たな役割や地位を与えられる。,大勝ちパターン,2,"実力発揮, 成功, 名声, 抜擢",火山旅,"名声, 実力発揮, 成功, 抜擢",92,45,64,35,受動,24,56,"状況:絶頂期, 力学:協力者なし, 力学:順当な力関係"
火山旅 上九,338,56,上九,鳥焚其巣。旅人先笑後号咷。…凶。 （とりそのすをやき、りょじんさきにわらいのちにごうとうす。…きょう。） 意味：鳥がその巣を燃やす。旅人は初め笑い、後で泣き叫ぶ。…凶。,旅の成功に油断し、軽率な行動を取った結果、帰るべき場所や、築き上げてきた基盤を全て失う。最初は楽観していても、やがて絶望に変わる、悲劇的な結末。,破滅パターン,-2,"油断, 喪失, 破滅",火山旅,"凶, 喪失, 油断, 破滅",8,40,24,75,能動,56,18,"状況:終極期, 力学:協力者なし"
巽為風 初六,339,57,初六,進退。利武人之貞。 （しんたい。ぶじんのていによろし。） 意味：進んだり退いたりする。武人の正しさが良い。,新しい状況で、どう行動すべきか迷い、進むか退くか決めかねている。この優柔不断な状態では、強い意志（武人）を持つことが、道を切り開く鍵となる。,やや破滅パターン,-1,"優柔不断, 迷い, 始まり",巽為風,"優柔不断, 始まり, 迷い",33,35,48,35,受動,32,44,"状況:黎明期, 力学:協力者なし, 力学:順当な力関係, 心理:正道堅持"
巽為風 九二,340,57,九二,巽在牀下。用史巫紛若。吉无咎。 （そんざいしょうか。しふをもちうことふんじょ。きちにしてとがなし。） 意味：風が寝台の下にいる。史巫を多く用いる。吉で咎めなし。,問題が水面下で進行し、状況が錯綜している。専門家（史巫）の意見を広く求めることで、問題の本質を明らかにし、正しく対処できる。,勝ちパターン,1,"隠れた問題, 専門家, 情報収集",巽為風,"吉, 問題なし, 専門家, 情報収集, 隠れた問題",75,55,56,35,能動,32,56,"状況:安定期, 力学:協力者なし"
巽為風 九三,341,57,九三,頻巽。吝。 （ひんそん。りん。） 意味：繰り返し従う（優柔不断）。恥ずかしいことだ。,柔軟であろうとするあまり、自分の意見が定まらず、方針がコロコロと変わる。その優柔不断さが、周囲からの信頼を失い、恥をかく原因となる。,やや破滅パターン,-1,"一貫性の欠如, 信頼喪失, 決断力不足",巽為風,"一貫性の欠如, 信頼喪失, 決断力不足",33,40,20,85,能動,76,12,"状況:移行期, 力学:下剋上リスク, 力学:協力者なし"
巽為風 六四,342,57,六四,悔亡。田獲三品。 （くいほろぶ。でんにさんぴんをう。） 意味：悔いがなくなる。狩りで三種類の獲物を得る。,これまでの努力が実を結び、過去の後悔が消える。自身の能力を様々な分野で発揮し、同時に複数の大きな成果を得られる、絶好調の時期。,大勝ちパターン,2,"大成功, 成果, 多角化",巽為風,"多角化, 大成功, 成果",92,25,56,45,受動,48,40,"状況:変革期, 力学:協力者なし, 力学:順当な力関係, 心理:内省"
巽為風 九五,343,57,九五,貞吉。悔亡。无不利。…先庚三日、後庚三日。 （ていきち。くいほろぶ。ふりなきなし。…こうにさきだつことみっか、こうにおくれることみっか。） 意味：正しくして吉。悔いなし。不利なことはない。…庚の三日前、三日後に（慎重に準備する）。,最高の立場にあるリーダーが、公正な姿勢で組織を導く。大きな変革（庚）の際には、入念な準備と事後処理を行うことで、万事を成功させる。,大勝ちパターン,2,"賢明なリーダー, 周到な準備, 成功",巽為風,"吉, 周到な準備, 成功, 賢明なリーダー",100,70,64,45,能動,20,62,"状況:変革期, 状況:絶頂期, 力学:協力者なし, アクション:準備, 心理:内省, 心理:慎重, 心理:正道堅持"
巽為風 上九,344,57,上九,巽在牀下。喪其資斧。貞凶。 （そんざいしょうか。そのしふをうしなう。ていはきょう。） 意味：風が寝台の下にいる。その財産と武器を失う。正しくても凶。,謙虚さや従順さが行き過ぎて、自分の意見や能力を全く主張できなくなる。その結果、主体性や持てる力（資斧）を全て失い、破滅に至る。,破滅パターン,-2,"主体性の喪失, 機能不全, 破滅",巽為風,"主体性の喪失, 凶, 機能不全, 破滅",8,40,24,75,能動,44,18,"状況:終極期, 力学:協力者なし, 心理:正道堅持, 心理:謙虚"
兌為沢 初九,345,58,初九,和兌。吉。 （わえつ。きち。） 意味：和やかに喜ぶ。吉。,新しい関係の始まり。激しい感情ではなく、穏やかで調和のとれた喜びを感じる。心からの満足感があり、良好なスタートを切れる。,勝ちパターン,1,"調和, 穏やか, 満足感",兌為沢,"吉, 満足感, 穏やか, 調和",75,40,48,35,能動,52,46,"状況:黎明期, 力学:協力者なし"
兌為沢 九二,346,58,九二,孚兌。吉。悔亡。 （ふえつ。きち。くいほろぶ。） 意味：真心をもって喜ぶ。吉。悔いは消える。,偽りのない、真心からの喜びや共感。その誠実さが相手に伝わり、深い信頼関係が築かれ、過去の誤解や後悔も解消される、最高の状態。,大勝ちパターン,2,"誠実, 信頼, 共感",兌為沢,"信頼, 共感, 吉, 誠実",92,55,44,65,能動,48,38,"状況:安定期, 力学:下剋上リスク, 力学:協力者なし, 心理:内省"
兌為沢 六三,347,58,六三,来兌。凶。 （らいえつ。きょう。） 意味：（外から）やって来る喜び。凶。,自分の内から湧き出る喜びではなく、外部からの安易な快楽や、無責任な誘惑に流される。その軽薄な行動が、かえって災いを招く。,破滅パターン,-2,"軽薄, 誘惑, 表面的な喜び",兌為沢,"凶, 表面的な喜び, 誘惑, 軽薄",8,25,32,75,受動,52,16,"状況:移行期, 力学:協力者なし, 力学:順当な力関係"
兌為沢 九四,348,58,九四,商兌未寧。介疾有喜。 （しょうえついまだやすからず。かいしつありてよろこびあり。） 意味：喜びを熟慮して、まだ安定しない。病を断ち切って喜びがある。,喜びの中にも、まだ解決すべき問題や不安（病）を抱えている。しかし、その問題点を断固として断ち切る決断をすれば、真の喜びを得ることができる。,勝ちパターン,1,"決断, 悪縁を断つ, 問題解決",兌為沢,"問題解決, 悪縁を断つ, 決断",67,40,40,35,能動,44,42,"状況:変革期, 力学:協力者なし"
兌為沢 九五,349,58,九五,孚于剥。厲。 （はくにまことあり。あやうし。） 意味：剥がれ落ちる者に真心を持つ。危うい。,信頼すべきでない、不正な者や、衰退している組織を、真心から信じてしまう。その見当違いの信頼が、自分自身を非常に危険な状況に陥れる。,やや破滅パターン,-1,"判断ミス, 信頼の誤り, 危険",兌為沢,"リスクあり, 信頼の誤り, 判断ミス, 危険",50,60,52,70,能動,48,42,"状況:絶頂期, 力学:下剋上リスク, 力学:協力者なし"
兌為沢 上六,350,58,上六,引兌。 （いんえつ。） 意味：（不適切な喜びに）引き込まれる。（凶）,節度を失い、快楽や享楽に溺れてしまう最終段階。言葉巧みに、あるいは自ら進んで、不誠実で中身のない喜びに引き込まれ、破滅する。,破滅パターン,-2,"享楽, 節度のなさ, 自滅",兌為沢,"享楽, 凶, 節度のなさ, 自滅",17,25,32,75,受動,56,16,"状況:終極期, 力学:協力者なし"
風水渙 初六,351,59,初六,用拯馬壮。吉。 （じょうばをもちいてすくう。きち。） 意味：強い馬を用いて助け出す。吉。,困難や停滞の初期段階で、強力なサポートやリソース（強い馬）を動員し、迅速に問題解決にあたる。その的確な初動が、良い結果をもたらす。,勝ちパターン,1,"迅速な対応, 危機管理, 支援",風水渙,"危機管理, 吉, 支援, 迅速な対応",67,25,48,35,受動,56,40,"状況:困窮状態, 状況:黎明期, 力学:協力者なし, 力学:順当な力関係"
風水渙 九二,352,59,九二,渙奔其机。悔亡。 （かんそのきにはしる。くいほろぶ。） 意味：散り散りになって、その机（安全な場所）に走り寄る。悔いは消える。,混乱や困難の最中に、いち早く安全な場所や頼れる支援（机）を見つけ出し、そこに駆け込む。危機を回避し、過去の後悔が解消される。,勝ちパターン,1,"安定の確保, 危機回避, 悔いの解消",風水渙,"危機回避, 安定の確保, 悔いの解消",75,55,56,45,能動,20,52,"状況:困窮状態, 状況:安定期, 力学:協力者なし, 心理:内省"
風水渙 六三,353,59,六三,渙其躬。无悔。 （そのきゅうをかんす。くいなし。） 意味：その身（私心）を散らす。悔いはない。,組織や全体の利益のために、自分のエゴや私的な欲望を捨てて、問題解決に貢献する。その無私な姿勢が、後悔のない、素晴らしい結果を生む。,大勝ちパターン,2,"無私, 貢献, 大義",風水渙,"大義, 無私, 貢献",83,55,32,75,能動,64,28,"状況:移行期, 力学:下剋上リスク, 力学:協力者あり, 心理:内省"
風水渙 六四,354,59,六四,渙其群。元吉。渙有丘。匪夷所思。 （そのぐんをかんす。げんきち。かんにしておかあり。いの思うところにあらず。） 意味：その群れを散らす。大いに吉。散らばったものが丘のように集まる。常人には考えられないこと。,組織の硬直化を解消するため、あえて既存の派閥やグループを解体する。その大胆な改革が、予期せぬ形で、より強固な新しい結束を生み出す。,大勝ちパターン,2,"抜本的改革, 組織再編, 大同団結",風水渙,"吉, 大同団結, 抜本的改革, 組織再編",92,25,56,35,受動,48,44,"状況:変革期, 力学:協力者なし, 力学:順当な力関係"
風水渙 九五,355,59,九五,渙汗其大号。渙王居。无咎。 （かんかんそのだいごう。かんおうきょ。とがなし。） 意味：汗のように大号令が広がる。王の居場所が散る。咎めなし。,リーダーが、私心なく、公正な目的のために大規模な改革の指示を出す。古い権威や既得権益を解消するその行動は、正しく、咎められることはない。,大勝ちパターン,2,"リーダーシップ, 大改革, 決断",風水渙,"リーダーシップ, 問題なし, 大改革, 決断",100,60,52,55,受動,36,48,"状況:変革期, 状況:絶頂期, 力学:下剋上リスク, 力学:協力者なし"
風水渙 上九,356,59,上九,渙其血。去逖出。无咎。 （そのけつをかんす。さかりていず。とがなし。） 意味：その血を散らす。遠く離れて出る。咎めはない。,深刻な危険（血）が及ぶ前に、その状況や場所から賢明に身を引き、遠くへ離れる。危機を未然に回避する、正しい自己防衛。,勝ちパターン,1,"危険回避, 撤退, 自己防衛",風水渙,"危険回避, 問題なし, 撤退, 自己防衛",67,40,44,45,受動,56,40,"状況:終極期, 力学:協力者あり"
水沢節 初九,357,60,初九,不出戸庭。无咎。 （こていをいでず。とがなし。） 意味：戸口から外へ出ない。咎めはない。,新しいことを始める際、焦って行動せず、まずは自分の内側（戸庭）で準備を整える。その慎重な自己抑制が、後の過ちを防ぎ、咎められない。,停滞・中立パターン,0,"自己抑制, 準備, 慎重",水沢節,"問題なし, 慎重, 準備, 自己抑制",50,25,48,35,受動,56,40,"状況:黎明期, 力学:協力者なし, 力学:順当な力関係, アクション:準備, 心理:慎重"
水沢節 九二,358,60,九二,不出門庭。凶。 （もんていをいでず。きょう。） 意味：門から外へ出ない。凶。,節度が行き過ぎ、行動が極端に消極的になる。外部との交流を完全に断ち、自分の殻に閉じこもることで、重要な機会を逃し、事態は悪化する。,破滅パターン,-2,"過度な抑制, 孤立, 機会損失",水沢節,"凶, 孤立, 機会損失, 過度な抑制",25,55,44,75,能動,60,34,"状況:安定期, 力学:下剋上リスク, 力学:協力者なし"
水沢節 六三,359,60,六三,不節若。則嗟若。无咎。 （せっせざるがごとし。すなわちさするがごとし。とがなし。） 意味：節度がないようだ。そのため嘆く。咎めはない。（※解釈テキストでは「節之弗亨」）,規律が厳しすぎる、あるいは緩すぎるなど、節度のあり方に問題があり、不満や嘆きが生じている。しかし、その問題に気づき、反省しているため、大きな咎めには至らない。,やや破滅パターン,-1,"不適切な規律, 不満, 反発",水沢節,"不満, 不適切な規律, 反発, 問題なし",25,50,36,45,受動,48,40,"状況:移行期, 力学:協力者あり"
水沢節 六四,360,60,六四,安節。亨。 （あんせつ。とおる。） 意味：安らかな節度。亨る。,無理がなく、自然で、誰もが納得できるような適切な規律が保たれている。その心地よい節度によって、物事はスムーズに進み、成功する。,大勝ちパターン,2,"心地よい規律, 調和, 成功",水沢節,"心地よい規律, 成功, 調和",92,35,56,35,受動,36,48,"状況:変革期, 力学:協力者なし, 力学:順当な力関係"
水沢節 九五,361,60,九五,甘節。吉。往有尚。 （かんせつ。きち。ゆけばたっとばるることあり。） 意味：甘美な節度。吉。進んで賞賛される。,リーダーが、人々が喜んで従うような、賢明で思いやりのある規律を設ける。その優れたリーダーシップが、周囲からの支持と賞賛を集め、物事を成功に導く。,大勝ちパターン,2,"賢明なリーダー, 信頼, 支持",水沢節,"信頼, 吉, 支持, 賢明なリーダー",100,60,64,35,能動,32,62,"状況:絶頂期, 力学:協力者なし"
水沢節 上六,362,60,上六,苦節。貞凶。悔亡。 （くせつ。ていはきょう。くいほろぶ。） 意味：苦しい節度。正しくても凶。悔いは消える。,節度や規律が極限に達し、それが苦痛となっている。無理な自己犠牲や、過剰な制約を続けると、心身が破綻する。その苦しみを通じて学ぶことで、後悔はなくなるが、状態としては凶。,破滅パターン,-2,"過剰な制約, 苦痛, 破綻",水沢節,"凶, 破綻, 苦痛, 過剰な制約",8,55,36,75,能動,32,30,"状況:終極期, 力学:協力者あり, 心理:内省, 心理:正道堅持"
